,Unnamed: 0,D_or_ND,File,max_word_length,Most_common_word_length,Nouns,Verbs,Adjs,Prons,Advs,Props,Max_word_length_occ
0,0,0,ND0,27,9,8,4,2,3,4,5,5
1,1,0,ND1,28,9,3,6,5,4,5,4,6
2,2,0,ND2,26,9,2,5,4,5,6,4,6
3,3,0,ND3,33,9,5,4,3,5,4,6,5
4,4,0,ND4,22,10,5,6,4,4,3,3,5
5,5,0,ND5,32,9,5,5,4,4,4,2,6
6,6,0,ND6,25,9,5,6,2,5,2,7,6
7,7,0,ND7,22,9,4,4,4,4,4,0,5
8,8,0,ND8,34,11,7,4,4,4,3,4,4
9,9,0,ND9,26,9,6,3,4,4,4,5,5
10,10,0,ND10,35,9,5,4,3,3,5,6,5
11,11,0,ND11,29,9,7,2,5,4,4,3,4
12,12,0,ND12,26,9,6,4,4,5,3,4,5
13,13,0,ND13,24,9,7,3,3,4,4,5,6
14,14,0,ND14,25,9,4,5,3,4,6,2,5
15,15,0,ND15,31,9,7,4,1,5,4,6,4
16,16,0,ND16,24,12,11,1,3,1,2,7,2
17,17,0,ND17,28,9,4,3,5,3,4,0,5
18,18,0,ND18,36,9,6,4,3,6,2,6,6
19,19,0,ND19,26,9,7,2,3,3,3,0,4
20,20,0,ND20,26,9,7,4,3,4,3,5,5
21,21,0,ND21,28,9,5,5,4,4,2,6,5
22,22,1,D0,25,11,10,2,4,4,1,3,5
23,23,1,D1,27,9,8,6,4,3,1,3,5
24,24,1,D2,24,13,6,3,3,4,6,3,4
25,25,1,D3,27,11,13,4,3,3,0,3,3
26,26,1,D4,23,11,6,4,5,5,3,1,1
27,27,1,D5,29,9,6,5,4,4,3,2,5
28,28,1,D6,24,8,7,3,3,4,3,0,4
29,29,1,D7,23,9,1,6,5,6,5,3,4
30,30,1,D8,25,10,8,5,3,4,3,3,6
31,31,1,D9,31,10,8,4,5,1,3,1,5
32,32,1,D10,26,9,9,1,2,4,1,9,5
33,33,1,D11,28,9,10,4,1,4,2,5,6
34,34,1,D12,25,9,7,7,1,3,2,6,4
35,35,1,D13,25,9,6,6,3,3,2,6,6
36,36,1,D14,25,9,5,6,3,3,4,4,7
37,37,1,D15,27,9,7,4,3,4,4,2,5
38,38,1,D16,27,10,9,3,3,6,3,2,4
39,39,1,D17,22,9,8,3,5,4,3,2,7
40,40,1,D18,54,9,7,5,4,4,2,2,4
41,41,1,D19,22,9,3,4,3,6,5,6,7
42,42,1,D20,20,7,9,2,4,6,3,3,4
43,43,1,D21,24,8,5,4,3,6,3,6,6
44,44,1,D22,25,9,9,3,4,2,1,6,4
45,45,1,D23,31,11,2,5,6,2,4,7,5
