,Length of longest word,Most common word Length,Occurence,Occurence %
D0,25,11,164,17.40976645435244
D1,27,9,34,17.0
D2,24,13,22,14.864864864864865
D3,27,11,27,13.30049261083744
D4,23,11,46,8.766233766233766
D5,29,9,310,16.324381253291207
D6,24,8,87,15.535714285714286
D7,23,9,31,15.897435897435896
D8,25,10,299,18.17629179331307
D9,31,10,215,16.589506172839506
D10,26,9,51,17.770034843205575
D11,28,9,105,18.04123711340206
D12,25,9,46,15.916955017301039
D13,25,9,85,19.859813084112147
D14,25,9,201,20.385395537525355
D15,27,9,190,16.843971631205672
D16,27,10,45,15.845070422535212
D17,22,9,107,23.010752688172044
D18,54,9,1020,14.001372683596431
D19,22,9,347,26.671790930053806
D20,20,7,95,14.570552147239264
D21,24,8,100,19.41747572815534
D22,25,9,203,14.795918367346939
D23,31,11,59,17.611940298507463
