,Unnamed: 0.1,D_or_ND,max_word_length_quar,Most_common_word_length_quar,Occurence_perc_quar,Unique_occ_perc_quar,Noun_perc_quar,Verb_perc_quar,Adj_perc_quar,Pron_perc_quar,Adv_perc_quar
0,0,ND,3,1,3,1,4,2,1,2,3
1,1,ND,3,1,4,2,1,4,4,3,4
2,2,ND,2,1,4,2,1,4,4,4,4
3,3,ND,4,1,2,3,1,3,2,4,4
4,4,ND,1,4,3,2,2,4,3,3,2
5,5,ND,4,1,4,2,2,3,3,2,4
6,6,ND,2,1,4,1,2,4,1,4,1
7,7,ND,1,1,3,1,1,3,3,2,3
8,8,ND,4,4,2,1,3,2,3,2,3
9,9,ND,2,1,2,1,2,1,4,3,3
10,10,ND,4,1,3,1,2,2,1,1,4
11,11,ND,4,2,1,3,3,1,4,3,4
12,12,ND,2,2,2,2,2,2,3,4,3
13,13,ND,1,2,4,3,3,2,1,3,3
14,14,ND,2,2,2,1,1,4,2,2,4
15,15,ND,4,2,1,2,3,3,1,4,4
16,16,ND,1,4,1,4,4,1,2,1,1
17,17,ND,3,2,3,1,1,1,4,1,3
18,18,ND,4,2,4,1,2,2,1,4,1
19,19,ND,2,2,1,2,3,1,1,1,2
20,20,ND,2,2,3,1,3,3,1,2,3
21,21,ND,3,2,3,2,1,4,4,3,2
22,22,D,2,4,3,3,4,1,3,2,1
23,23,D,3,2,2,4,4,4,3,1,1
24,24,D,1,4,1,4,2,1,2,2,4
25,25,D,3,4,1,4,4,2,2,1,1
26,26,D,1,4,1,4,2,2,4,4,2
27,27,D,4,3,2,3,2,3,4,2,2
28,28,D,1,1,1,3,3,1,2,2,2
29,29,D,1,3,2,4,1,4,4,4,4
30,30,D,2,4,4,1,4,3,2,3,2
31,31,D,4,4,2,2,4,2,4,1,3
32,32,D,2,3,3,3,4,1,1,3,1
33,33,D,3,3,3,4,4,2,1,3,1
34,34,D,2,3,2,4,3,4,1,1,1
35,35,D,2,3,4,4,2,4,1,1,1
36,36,D,2,3,4,3,1,4,2,1,3
37,37,D,3,3,2,3,3,3,2,2,3
38,38,D,3,4,1,3,4,1,2,4,2
39,39,D,1,3,4,4,3,1,4,3,2
40,40,D,4,3,1,1,3,4,3,3,1
41,41,D,1,3,4,2,1,3,3,4,4
42,42,D,1,1,1,3,4,1,3,4,2
43,43,D,1,1,4,4,1,3,2,4,2
44,44,D,2,4,1,2,4,2,3,1,1
45,45,D,4,4,3,4,1,3,4,1,4
